HighCard ('8', '6', '4', '3', '2')
HighCard ('Q', 'T', '9', '7', '2')
HighCard ('Q', 'T', '9', '7', '5')
HighCard ('Q', 'T', '9', '8', '6')
HighCard ('Q', 'J', '6', '5', '2')
HighCard ('Q', 'J', '7', '5', '2')
HighCard ('Q', 'J', '7', '6', '2')
HighCard ('Q', 'J', '7', '6', '4')
HighCard ('Q', 'J', '8', '5', '4')
HighCard ('Q', 'J', '8', '7', '4')
HighCard ('Q', 'J', '8', '7', '5')
HighCard ('Q', 'J', 'T', '5', '2')
HighCard ('Q', 'J', 'T', '7', '5')
HighCard ('Q', 'J', 'T', '8', '3')
HighCard ('K', '7', '6', '4', '3')
HighCard ('K', '8', '5', '4', '3')
HighCard ('K', '8', '6', '5', '2')
HighCard ('K', '8', '7', '4', '2')
HighCard ('K', '8', '7', '5', '4')
HighCard ('K', '8', '7', '6', '2')
HighCard ('K', '9', '6', '4', '3')
HighCard ('K', '9', '7', '4', '2')
HighCard ('K', '9', '7', '6', '2')
HighCard ('K', '9', '7', '6', '4')
HighCard ('K', '9', '7', '6', '5')
HighCard ('K', '9', '8', '5', '2')
HighCard ('K', '9', '8', '7', '4')
HighCard ('K', 'T', '6', '3', '2')
HighCard ('K', 'T', '6', '4', '2')
HighCard ('K', 'T', '7', '6', '3')
HighCard ('K', 'T', '7', '6', '5')
HighCard ('K', 'T', '8', '5', '3')
HighCard ('K', 'T', '8', '6', '3')
HighCard ('K', 'T', '9', '7', '4')
HighCard ('K', 'T', '9', '8', '5')
HighCard ('K', 'J', '8', '7', '3')
HighCard ('K', 'J', '8', '7', '5')
HighCard ('K', 'J', '9', '6', '4')
HighCard ('K', 'J', '9', '8', '3')
HighCard ('K', 'J', '9', '8', '6')
HighCard ('K', 'J', 'T', '3', '2')
HighCard ('K', 'J', 'T', '5', '2')
HighCard ('K', 'J', 'T', '7', '2')
HighCard ('K', 'J', 'T', '8', '2')
HighCard ('K', 'J', 'T', '8', '4')
HighCard ('K', 'J', 'T', '9', '2')
HighCard ('K', 'Q', '4', '3', '2')
HighCard ('K', 'Q', '5', '4', '3')
HighCard ('K', 'Q', '7', '6', '2')
HighCard ('K', 'Q', '8', '7', '3')
HighCard ('K', 'Q', '8', '7', '6')
HighCard ('K', 'Q', '9', '3', '2')
HighCard ('K', 'Q', '9', '7', '2')
HighCard ('K', 'Q', 'T', '3', '2')
HighCard ('K', 'Q', 'T', '4', '3')
HighCard ('K', 'Q', 'T', '7', '2')
HighCard ('K', 'Q', 'T', '7', '4')
HighCard ('K', 'Q', 'T', '8', '5')
HighCard ('K', 'Q', 'T', '8', '6')
HighCard ('K', 'Q', 'T', '8', '7')
HighCard ('K', 'Q', 'T', '9', '2')
HighCard ('K', 'Q', 'J', '5', '4')
HighCard ('K', 'Q', 'J', '8', '5')
HighCard ('K', 'Q', 'J', 'T', '2')
HighCard ('A', '6', '4', '3', '2')
HighCard ('A', '7', '5', '4', '2')
HighCard ('A', '8', '6', '3', '2')
HighCard ('A', '8', '6', '5', '3')
HighCard ('A', '9', '7', '6', '2')
HighCard ('A', '9', '8', '6', '2')
HighCard ('A', '9', '8', '7', '2')
HighCard ('A', 'T', '5', '3', '2')
HighCard ('A', 'T', '5', '4', '2')
HighCard ('A', 'T', '7', '6', '3')
HighCard ('A', 'T', '8', '3', '2')
HighCard ('A', 'T', '8', '5', '2')
HighCard ('A', 'T', '8', '5', '3')
HighCard ('A', 'T', '8', '5', '4')
HighCard ('A', 'T', '8', '7', '5')
HighCard ('A', 'T', '9', '4', '2')
HighCard ('A', 'T', '9', '4', '3')
HighCard ('A', 'T', '9', '6', '4')
HighCard ('A', 'T', '9', '6', '5')
HighCard ('A', 'T', '9', '7', '3')
HighCard ('A', 'T', '9', '7', '4')
HighCard ('A', 'T', '9', '7', '5')
HighCard ('A', 'T', '9', '7', '6')
HighCard ('A', 'T', '9', '8', '5')
HighCard ('A', 'J', '6', '4', '2')
HighCard ('A', 'J', '6', '5', '4')
HighCard ('A', 'J', '7', '5', '2')
HighCard ('A', 'J', '7', '6', '2')
HighCard ('A', 'J', '8', '3', '2')
HighCard ('A', 'J', '8', '4', '2')
HighCard ('A', 'J', '8', '5', '2')
HighCard ('A', 'J', '8', '7', '5')
HighCard ('A', 'J', '9', '5', '2')
HighCard ('A', 'J', '9', '6', '5')
HighCard ('A', 'J', '9', '7', '3')
HighCard ('A', 'J', 'T', '4', '3')
HighCard ('A', 'J', 'T', '5', '2')
HighCard ('A', 'J', 'T', '7', '3')
HighCard ('A', 'J', 'T', '9', '5')
HighCard ('A', 'Q', '6', '3', '2')
HighCard ('A', 'Q', '7', '5', '4')
HighCard ('A', 'Q', '7', '6', '3')
HighCard ('A', 'Q', '7', '6', '4')
HighCard ('A', 'Q', '8', '4', '2')
HighCard ('A', 'Q', '9', '5', '3')
HighCard ('A', 'Q', '9', '6', '4')
HighCard ('A', 'Q', '9', '7', '3')
HighCard ('A', 'Q', '9', '8', '3')
HighCard ('A', 'Q', '9', '8', '6')
HighCard ('A', 'Q', 'T', '7', '6')
HighCard ('A', 'Q', 'T', '8', '2')
HighCard ('A', 'Q', 'T', '8', '4')
HighCard ('A', 'Q', 'T', '9', '6')
HighCard ('A', 'Q', 'J', '3', '2')
HighCard ('A', 'Q', 'J', '7', '5')
HighCard ('A', 'Q', 'J', '8', '2')
HighCard ('A', 'Q', 'J', '9', '2')
HighCard ('A', 'Q', 'J', '9', '3')
HighCard ('A', 'Q', 'J', '9', '5')
HighCard ('A', 'Q', 'J', 'T', '3')
HighCard ('A', 'Q', 'J', 'T', '5')
HighCard ('A', 'K', '5', '3', '2')
HighCard ('A', 'K', '5', '4', '3')
HighCard ('A', 'K', '7', '4', '2')
HighCard ('A', 'K', '7', '5', '2')
HighCard ('A', 'K', '8', '7', '4')
HighCard ('A', 'K', '9', '3', '2')
HighCard ('A', 'K', '9', '6', '2')
HighCard ('A', 'K', '9', '6', '5')
HighCard ('A', 'K', 'T', '4', '3')
HighCard ('A', 'K', 'T', '6', '3')
HighCard ('A', 'K', 'T', '9', '6')
HighCard ('A', 'K', 'J', '5', '4')
HighCard ('A', 'K', 'J', '7', '4')
HighCard ('A', 'K', 'J', '7', '6')
HighCard ('A', 'K', 'J', '9', '3')
HighCard ('A', 'K', 'J', '9', '4')
HighCard ('A', 'K', 'J', 'T', '5')
HighCard ('A', 'K', 'Q', '5', '3')
HighCard ('A', 'K', 'Q', '7', '2')
HighCard ('A', 'K', 'Q', '8', '7')
HighCard ('A', 'K', 'Q', '9', '5')
HighCard ('A', 'K', 'Q', '9', '7')
HighCard ('A', 'K', 'Q', 'T', '2')
HighCard ('A', 'K', 'Q', 'J', '6')
OnePair ('2', '7', '4', '3')
OnePair ('2', '8', '6', '5')
OnePair ('2', '9', '8', '3')
OnePair ('2', '9', '8', '4')
OnePair ('2', 'T', '7', '6')
OnePair ('2', 'T', '8', '5')
OnePair ('2', 'T', '9', '6')
OnePair ('2', 'T', '9', '8')
OnePair ('2', 'J', '5', '3')
OnePair ('2', 'J', '6', '5')
OnePair ('2', 'J', 'T', '3')
OnePair ('2', 'J', 'T', '4')
OnePair ('2', 'Q', 'T', '8')
OnePair ('2', 'Q', 'T', '9')
OnePair ('2', 'Q', 'J', '8')
OnePair ('2', 'K', 'J', '8')
OnePair ('2', 'A', '6', '5')
OnePair ('2', 'A', '9', '4')
OnePair ('2', 'A', 'T', '4')
OnePair ('2', 'A', 'J', '8')
OnePair ('2', 'A', 'K', 'J')
OnePair ('3', '7', '4', '2')
OnePair ('3', '9', '6', '2')
OnePair ('3', '9', '8', '7')
OnePair ('3', 'T', '6', '5')
OnePair ('3', 'J', '6', '4')
OnePair ('3', 'J', '6', '5')
OnePair ('3', 'J', '7', '4')
OnePair ('3', 'J', '8', '4')
OnePair ('3', 'J', '8', '6')
OnePair ('3', 'J', '9', '5')
OnePair ('3', 'J', 'T', '2')
OnePair ('3', 'J', 'T', '6')
OnePair ('3', 'Q', '6', '2')
OnePair ('3', 'Q', '9', '8')
OnePair ('3', 'K', '8', '6')
OnePair ('3', 'K', '9', '6')
OnePair ('3', 'K', 'J', 'T')
OnePair ('3', 'K', 'Q', '4')
OnePair ('3', 'K', 'Q', '6')
OnePair ('3', 'A', '8', '4')
OnePair ('3', 'A', '9', '4')
OnePair ('3', 'A', 'J', '6')
OnePair ('3', 'A', 'J', '7')
OnePair ('3', 'A', 'J', 'T')
OnePair ('3', 'A', 'K', '9')
OnePair ('4', '5', '3', '2')
OnePair ('4', '7', '3', '2')
OnePair ('4', '8', '6', '5')
OnePair ('4', 'J', '6', '3')
OnePair ('4', 'J', '9', '5')
OnePair ('4', 'J', 'T', '5')
OnePair ('4', 'J', 'T', '9')
OnePair ('4', 'Q', '7', '3')
OnePair ('4', 'K', '9', '3')
OnePair ('4', 'K', 'Q', '2')
OnePair ('4', 'A', '6', '3')
OnePair ('4', 'A', '7', '3')
OnePair ('4', 'A', '8', '6')
OnePair ('4', 'A', 'J', '3')
OnePair ('4', 'A', 'J', '5')
OnePair ('4', 'A', 'J', 'T')
OnePair ('4', 'A', 'Q', 'J')
OnePair ('4', 'A', 'K', '5')
OnePair ('4', 'A', 'K', '8')
OnePair ('5', '8', '7', '3')
OnePair ('5', '9', '3', '2')
OnePair ('5', 'Q', '8', '3')
OnePair ('5', 'Q', 'J', 'T')
OnePair ('5', 'K', '7', '2')
OnePair ('5', 'K', 'J', '6')
OnePair ('5', 'K', 'J', '8')
OnePair ('5', 'A', '8', '7')
OnePair ('5', 'A', '9', '7')
OnePair ('5', 'A', 'J', '3')
OnePair ('6', '8', '7', '3')
OnePair ('6', '9', '7', '4')
OnePair ('6', '9', '7', '5')
OnePair ('6', '9', '8', '2')
OnePair ('6', 'T', '5', '4')
OnePair ('6', 'T', '9', '2')
OnePair ('6', 'J', '9', '8')
OnePair ('6', 'Q', '7', '3')
OnePair ('6', 'Q', '8', '7')
OnePair ('6', 'Q', '9', '4')
OnePair ('6', 'Q', 'T', '7')
OnePair ('6', 'Q', 'J', '9')
OnePair ('6', 'Q', 'J', 'T')
OnePair ('6', 'A', 'J', '7')
OnePair ('6', 'A', 'Q', '7')
OnePair ('6', 'A', 'K', '4')
OnePair ('7', '8', '6', '4')
OnePair ('7', 'T', '9', '3')
OnePair ('7', 'J', '3', '2')
OnePair ('7', 'J', '5', '2')
OnePair ('7', 'J', '6', '4')
OnePair ('7', 'J', '8', '4')
OnePair ('7', 'J', '8', '5')
OnePair ('7', 'J', '9', '4')
OnePair ('7', 'J', 'T', '2')
OnePair ('7', 'J', 'T', '6')
OnePair ('7', 'Q', '6', '5')
OnePair ('7', 'Q', '8', '5')
OnePair ('7', 'Q', '9', '6')
OnePair ('7', 'Q', 'J', '6')
OnePair ('7', 'Q', 'J', '9')
OnePair ('7', 'K', 'J', '3')
OnePair ('7', 'K', 'J', '4')
OnePair ('7', 'K', 'Q', '4')
OnePair ('7', 'A', 'J', '2')
OnePair ('7', 'A', 'K', '8')
OnePair ('7', 'A', 'K', 'J')
OnePair ('8', '5', '4', '3')
OnePair ('8', 'T', '7', '3')
OnePair ('8', 'J', '6', '3')
OnePair ('8', 'J', '9', '6')
OnePair ('8', 'J', 'T', '5')
OnePair ('8', 'Q', 'T', '3')
OnePair ('8', 'Q', 'J', '2')
OnePair ('8', 'Q', 'J', '9')
OnePair ('8', 'K', '9', '4')
OnePair ('8', 'K', 'T', '5')
OnePair ('8', 'K', 'J', '2')
OnePair ('8', 'K', 'Q', '3')
OnePair ('8', 'A', 'T', '2')
OnePair ('9', '6', '5', '2')
OnePair ('9', '7', '4', '3')
OnePair ('9', '7', '6', '3')
OnePair ('9', '7', '6', '5')
OnePair ('9', '8', '6', '4')
OnePair ('9', '8', '7', '6')
OnePair ('9', 'T', '3', '2')
OnePair ('9', 'J', '6', '2')
OnePair ('9', 'J', '6', '5')
OnePair ('9', 'J', '8', '6')
OnePair ('9', 'J', 'T', '2')
OnePair ('9', 'J', 'T', '6')
OnePair ('9', 'J', 'T', '7')
OnePair ('9', 'Q', '6', '5')
OnePair ('9', 'Q', 'J', '7')
OnePair ('9', 'K', '8', '5')
OnePair ('9', 'K', 'J', '7')
OnePair ('9', 'K', 'Q', '8')
OnePair ('9', 'A', '5', '2')
OnePair ('9', 'A', '7', '3')
OnePair ('9', 'A', 'T', '6')
OnePair ('9', 'A', 'J', '7')
OnePair ('T', '5', '4', '2')
OnePair ('T', '8', '7', '5')
OnePair ('T', '8', '7', '6')
OnePair ('T', 'J', '3', '2')
OnePair ('T', 'J', '6', '4')
OnePair ('T', 'J', '7', '6')
OnePair ('T', 'J', '9', '2')
OnePair ('T', 'J', '9', '3')
OnePair ('T', 'J', '9', '4')
OnePair ('T', 'Q', '7', '3')
OnePair ('T', 'Q', '7', '4')
OnePair ('T', 'Q', 'J', '6')
OnePair ('T', 'K', 'J', '6')
OnePair ('T', 'K', 'J', '7')
OnePair ('T', 'K', 'Q', '5')
OnePair ('T', 'K', 'Q', '7')
OnePair ('T', 'A', '4', '3')
OnePair ('T', 'A', '7', '4')
OnePair ('T', 'A', '8', '5')
OnePair ('T', 'A', '9', '5')
OnePair ('T', 'A', 'Q', '4')
OnePair ('T', 'A', 'Q', '8')
OnePair ('T', 'A', 'Q', '9')
OnePair ('T', 'A', 'Q', 'J')
OnePair ('J', '7', '4', '2')
OnePair ('J', '8', '7', '4')
OnePair ('J', '9', '8', '7')
OnePair ('J', 'T', '6', '4')
OnePair ('J', 'T', '6', '5')
OnePair ('J', 'T', '7', '2')
OnePair ('J', 'T', '8', '5')
OnePair ('J', 'Q', '8', '3')
OnePair ('J', 'Q', '8', '5')
OnePair ('J', 'K', '8', '3')
OnePair ('J', 'K', '8', '7')
OnePair ('J', 'A', '8', '6')
OnePair ('J', 'A', '9', '8')
OnePair ('J', 'A', 'Q', '4')
OnePair ('J', 'A', 'Q', 'T')
OnePair ('J', 'A', 'K', '7')
OnePair ('Q', '7', '5', '3')
OnePair ('Q', '7', '6', '3')
OnePair ('Q', '8', '5', '2')
OnePair ('Q', 'T', '5', '4')
OnePair ('Q', 'J', '5', '3')
OnePair ('Q', 'J', '5', '4')
OnePair ('Q', 'J', '8', '7')
OnePair ('Q', 'K', '8', '4')
OnePair ('Q', 'K', 'T', '6')
OnePair ('Q', 'K', 'J', '2')
OnePair ('Q', 'K', 'J', '4')
OnePair ('Q', 'K', 'J', '6')
OnePair ('Q', 'K', 'J', '8')
OnePair ('Q', 'A', 'T', '5')
OnePair ('K', '6', '5', '3')
OnePair ('K', '6', '5', '4')
OnePair ('K', '8', '6', '4')
OnePair ('K', '9', '8', '6')
OnePair ('K', 'T', '8', '5')
OnePair ('K', 'J', '8', '4')
OnePair ('K', 'J', '9', '4')
OnePair ('K', 'Q', '6', '2')
OnePair ('K', 'Q', '7', '2')
OnePair ('K', 'Q', '9', '8')
OnePair ('K', 'Q', 'T', '7')
OnePair ('K', 'Q', 'J', '5')
OnePair ('K', 'A', 'T', '8')
OnePair ('K', 'A', 'J', '9')
OnePair ('K', 'A', 'Q', 'J')
OnePair ('A', '6', '4', '3')
OnePair ('A', '7', '4', '3')
OnePair ('A', '7', '5', '4')
OnePair ('A', '8', '6', '5')
OnePair ('A', 'T', '5', '2')
OnePair ('A', 'T', '6', '3')
OnePair ('A', 'T', '8', '2')
OnePair ('A', 'T', '9', '5')
OnePair ('A', 'J', '4', '3')
OnePair ('A', 'J', '7', '3')
OnePair ('A', 'J', '7', '5')
OnePair ('A', 'J', '8', '3')
OnePair ('A', 'J', '9', '2')
OnePair ('A', 'J', '9', '7')
OnePair ('A', 'J', 'T', '8')
OnePair ('A', 'Q', '8', '3')
OnePair ('A', 'Q', '9', '4')
OnePair ('A', 'Q', 'J', '4')
OnePair ('A', 'K', '5', '2')
OnePair ('A', 'K', '7', '3')
OnePair ('A', 'K', '8', '4')
OnePair ('A', 'K', 'T', '2')
TwoPair ('3', '2', 'Q')
TwoPair ('4', '2', '3')
TwoPair ('4', '2', '7')
TwoPair ('4', '2', '9')
TwoPair ('4', '2', 'J')
TwoPair ('4', '2', 'Q')
TwoPair ('4', '3', '2')
TwoPair ('4', '3', '8')
TwoPair ('4', '3', 'J')
TwoPair ('4', '3', 'Q')
TwoPair ('5', '2', 'Q')
TwoPair ('5', '2', 'K')
TwoPair ('5', '3', '9')
TwoPair ('5', '4', '2')
TwoPair ('5', '4', '7')
TwoPair ('5', '4', '9')
TwoPair ('5', '4', 'T')
TwoPair ('5', '4', 'J')
TwoPair ('6', '2', '7')
TwoPair ('6', '2', 'K')
TwoPair ('6', '3', '4')
TwoPair ('6', '3', 'K')
TwoPair ('6', '5', '9')
TwoPair ('6', '5', 'K')
TwoPair ('7', '2', '3')
TwoPair ('7', '2', 'T')
TwoPair ('7', '2', 'A')
TwoPair ('7', '3', 'J')
TwoPair ('7', '4', '5')
TwoPair ('7', '4', '8')
TwoPair ('7', '4', '9')
TwoPair ('7', '4', 'J')
TwoPair ('7', '5', 'J')
TwoPair ('7', '5', 'K')
TwoPair ('7', '6', '2')
TwoPair ('7', '6', '4')
TwoPair ('8', '2', '4')
TwoPair ('8', '2', 'Q')
TwoPair ('8', '3', '2')
TwoPair ('8', '3', 'T')
TwoPair ('8', '3', 'J')
TwoPair ('8', '3', 'Q')
TwoPair ('8', '4', 'T')
TwoPair ('8', '4', 'J')
TwoPair ('8', '5', '3')
TwoPair ('8', '5', '9')
TwoPair ('8', '5', 'T')
TwoPair ('8', '5', 'A')
TwoPair ('8', '6', 'T')
TwoPair ('8', '6', 'K')
TwoPair ('8', '7', '3')
TwoPair ('8', '7', 'A')
TwoPair ('9', '2', '7')
TwoPair ('9', '2', '8')
TwoPair ('9', '2', 'T')
TwoPair ('9', '2', 'A')
TwoPair ('9', '3', '5')
TwoPair ('9', '4', '5')
TwoPair ('9', '4', '8')
TwoPair ('9', '4', 'T')
TwoPair ('9', '4', 'J')
TwoPair ('9', '4', 'K')
TwoPair ('9', '5', '7')
TwoPair ('9', '5', '8')
TwoPair ('9', '5', 'J')
TwoPair ('9', '6', '4')
TwoPair ('9', '6', '7')
TwoPair ('9', '6', 'J')
TwoPair ('9', '8', '3')
TwoPair ('9', '8', '4')
TwoPair ('9', '8', 'T')
TwoPair ('T', '2', '5')
TwoPair ('T', '2', 'Q')
TwoPair ('T', '4', 'J')
TwoPair ('T', '4', 'Q')
TwoPair ('T', '5', '2')
TwoPair ('T', '5', '6')
TwoPair ('T', '5', 'Q')
TwoPair ('T', '6', '8')
TwoPair ('T', '6', 'K')
TwoPair ('T', '6', 'A')
TwoPair ('T', '7', '3')
TwoPair ('T', '8', 'J')
TwoPair ('T', '8', 'A')
TwoPair ('T', '9', '4')
TwoPair ('T', '9', 'Q')
TwoPair ('T', '9', 'K')
TwoPair ('J', '2', '3')
TwoPair ('J', '2', '5')
TwoPair ('J', '3', '6')
TwoPair ('J', '4', '2')
TwoPair ('J', '5', '9')
TwoPair ('J', '6', '5')
TwoPair ('J', '6', '7')
TwoPair ('J', '6', 'A')
TwoPair ('J', '7', '9')
TwoPair ('J', '7', 'Q')
TwoPair ('J', '8', '2')
TwoPair ('J', '8', '3')
TwoPair ('J', '9', '2')
TwoPair ('J', '9', '4')
TwoPair ('J', '9', '5')
TwoPair ('J', '9', 'Q')
TwoPair ('J', '9', 'K')
TwoPair ('J', 'T', '4')
TwoPair ('J', 'T', '5')
TwoPair ('J', 'T', '9')
TwoPair ('Q', '2', 'J')
TwoPair ('Q', '3', '9')
TwoPair ('Q', '3', 'J')
TwoPair ('Q', '3', 'K')
TwoPair ('Q', '4', '6')
TwoPair ('Q', '4', '7')
TwoPair ('Q', '4', 'T')
TwoPair ('Q', '5', '8')
TwoPair ('Q', '6', '4')
TwoPair ('Q', '6', '7')
TwoPair ('Q', '6', '9')
TwoPair ('Q', '6', 'J')
TwoPair ('Q', '7', '3')
TwoPair ('Q', '7', 'K')
TwoPair ('Q', '8', '5')
TwoPair ('Q', '8', '6')
TwoPair ('Q', '8', '9')
TwoPair ('Q', '8', 'T')
TwoPair ('Q', '8', 'J')
TwoPair ('Q', '9', '7')
TwoPair ('Q', '9', 'J')
TwoPair ('Q', '9', 'K')
TwoPair ('Q', 'T', '9')
TwoPair ('K', '2', '5')
TwoPair ('K', '2', '6')
TwoPair ('K', '2', 'J')
TwoPair ('K', '4', '7')
TwoPair ('K', '4', 'T')
TwoPair ('K', '4', 'J')
TwoPair ('K', '5', 'J')
TwoPair ('K', '6', '2')
TwoPair ('K', '6', '3')
TwoPair ('K', '6', '9')
TwoPair ('K', '7', '2')
TwoPair ('K', '7', 'Q')
TwoPair ('K', '9', '8')
TwoPair ('K', '9', 'A')
TwoPair ('K', 'T', '6')
TwoPair ('K', 'T', '7')
TwoPair ('K', 'T', 'J')
TwoPair ('K', 'T', 'Q')
TwoPair ('K', 'J', '5')
TwoPair ('K', 'Q', '6')
TwoPair ('A', '2', '3')
TwoPair ('A', '3', '4')
TwoPair ('A', '3', '7')
TwoPair ('A', '3', 'T')
TwoPair ('A', '3', 'J')
TwoPair ('A', '4', '7')
TwoPair ('A', '4', 'J')
TwoPair ('A', '4', 'K')
TwoPair ('A', '5', '2')
TwoPair ('A', '5', '3')
TwoPair ('A', '6', '3')
TwoPair ('A', '6', 'J')
TwoPair ('A', '7', '2')
TwoPair ('A', '7', '3')
TwoPair ('A', '8', '4')
TwoPair ('A', '8', '5')
TwoPair ('A', '8', 'J')
TwoPair ('A', '9', '3')
TwoPair ('A', '9', 'J')
TwoPair ('A', 'T', '4')
TwoPair ('A', 'T', '9')
TwoPair ('A', 'T', 'Q')
TwoPair ('A', 'J', '2')
TwoPair ('A', 'J', '6')
TwoPair ('A', 'Q', '4')
TwoPair ('A', 'Q', 'J')
TwoPair ('A', 'K', '4')
TwoPair ('A', 'K', '7')
TwoPair ('A', 'K', 'T')
TwoPair ('A', 'K', 'J')
ThreeOfAKind ('2', '5', '4')
ThreeOfAKind ('2', '6', '4')
ThreeOfAKind ('2', '8', '3')
ThreeOfAKind ('2', '9', '4')
ThreeOfAKind ('2', '9', '8')
ThreeOfAKind ('2', 'T', '7')
ThreeOfAKind ('2', 'J', '3')
ThreeOfAKind ('2', 'J', '6')
ThreeOfAKind ('2', 'J', '9')
ThreeOfAKind ('2', 'Q', '6')
ThreeOfAKind ('2', 'Q', '9')
ThreeOfAKind ('2', 'K', '6')
ThreeOfAKind ('2', 'K', '9')
ThreeOfAKind ('2', 'K', 'J')
ThreeOfAKind ('2', 'A', 'Q')
ThreeOfAKind ('3', '6', '2')
ThreeOfAKind ('3', '7', '2')
ThreeOfAKind ('3', '7', '4')
ThreeOfAKind ('3', '8', '4')
ThreeOfAKind ('3', '9', '4')
ThreeOfAKind ('3', '9', '7')
ThreeOfAKind ('3', '9', '8')
ThreeOfAKind ('3', 'T', '6')
ThreeOfAKind ('3', 'J', '4')
ThreeOfAKind ('3', 'J', '6')
ThreeOfAKind ('3', 'J', '8')
ThreeOfAKind ('3', 'J', 'T')
ThreeOfAKind ('3', 'Q', '4')
ThreeOfAKind ('3', 'Q', 'J')
ThreeOfAKind ('3', 'K', '5')
ThreeOfAKind ('3', 'K', '9')
ThreeOfAKind ('3', 'A', 'Q')
ThreeOfAKind ('4', '6', '2')
ThreeOfAKind ('4', '6', '3')
ThreeOfAKind ('4', '6', '5')
ThreeOfAKind ('4', '7', '3')
ThreeOfAKind ('4', '8', '2')
ThreeOfAKind ('4', '8', '5')
ThreeOfAKind ('4', '9', '2')
ThreeOfAKind ('4', '9', '3')
ThreeOfAKind ('4', '9', '8')
ThreeOfAKind ('4', 'T', '5')
ThreeOfAKind ('4', 'J', '3')
ThreeOfAKind ('4', 'J', 'T')
ThreeOfAKind ('4', 'Q', '7')
ThreeOfAKind ('4', 'K', '8')
ThreeOfAKind ('4', 'K', 'J')
ThreeOfAKind ('4', 'A', '3')
ThreeOfAKind ('4', 'A', '7')
ThreeOfAKind ('4', 'A', 'J')
ThreeOfAKind ('5', '3', '2')
ThreeOfAKind ('5', '4', '3')
ThreeOfAKind ('5', '6', '4')
ThreeOfAKind ('5', 'T', '3')
ThreeOfAKind ('5', 'T', '7')
ThreeOfAKind ('5', 'T', '9')
ThreeOfAKind ('5', 'J', '3')
ThreeOfAKind ('5', 'J', '4')
ThreeOfAKind ('5', 'J', '6')
ThreeOfAKind ('5', 'J', '7')
ThreeOfAKind ('5', 'J', '8')
ThreeOfAKind ('5', 'J', '9')
ThreeOfAKind ('5', 'Q', 'J')
ThreeOfAKind ('5', 'K', '2')
ThreeOfAKind ('5', 'K', 'J')
ThreeOfAKind ('5', 'K', 'Q')
ThreeOfAKind ('6', '5', '4')
ThreeOfAKind ('6', '8', '2')
ThreeOfAKind ('6', '8', '7')
ThreeOfAKind ('6', '9', '4')
ThreeOfAKind ('6', 'T', '5')
ThreeOfAKind ('6', 'J', '2')
ThreeOfAKind ('6', 'J', '4')
ThreeOfAKind ('6', 'J', '7')
ThreeOfAKind ('6', 'J', '8')
